object,action,effect_sentence_1,effect_sentence_2,effect_sentence_3,effect_sentence_4,label
egg,boil,the object becomes solid on the inside of the shell as the hot water cooks it and makes it edible,the object hardens and solidifies,the object is heated until soft,the object is heated until soft,0
egg,boil,the object is heated changed from liquid to solid and ready to consume,the object hardens and solidifies,the object is heated until soft,the object is heated until soft,0
bowl,break,the object is split into pieces,the object was laying on the ground,the object was laying on the ground,the object is being shattered into more than one piece,3
bowl,break,the object is split into pieces,a object is broken into smaller pieces,the object was laying on the ground,the object was laying on the ground,1
bowl,break,the object was laying on the ground,the object is shattered,the object is split into pieces,the object was laying on the ground,1
bowl,break,a boy break the object,the object is split into pieces,the object was laying on the ground,the object was laying on the ground,0
bowl,break,the object was laying on the ground,the object is split into pieces,the object is everywhere on the floor,the object was laying on the ground,2
bowl,break,the object was laying on the ground,the object will break into several pieces,the object is split into pieces,the object was laying on the ground,1
bowl,break,the object was laying on the ground,the object was laying on the ground,the object is split into pieces,the object is divided into pieces,3
bowl,break,the object is damaged and in many pieces,the object is split into pieces,the object was laying on the ground,the object was laying on the ground,0
door,break,the object was displaced and or fractured by force,the object is ripped,the object is divided into pieces,the object is shut completely,0
door,break,the object is divided into pieces,the object is shut completely,the object is ripped,the object is changed both in terms of location and effectiveness when the police break it down,3
door,break,to remove the object own with force so the object is no longer on the hinges,the object is shut completely,the object is ripped,the object is divided into pieces,0
door,break,the object is ripped,the object is divided into pieces,the object is shut completely,the object is knocked down off its hinges,3
door,break,the object is shut completely,the object is divided into pieces,the object is destroyed,the object is ripped,2
door,break,the object is destroyed in order to gain entrance,the object is ripped,the object is divided into pieces,the object is shut completely,0
door,break,the object is divided into pieces,the object is ripped,the object was forcibly opened,the object is shut completely,2
door,break,the object is shut completely,the object is ripped,the object was pounded with a hard item until it smashed open,the object is divided into pieces,2
door,break,the object is divided into pieces,the object is ripped,the object is shut completely,the object looses it original shape and structure becoming a useless pile of ruble,3
glass,break,the object falls down after being cut through,the object is split into pieces,separate the objects in to pieces by forcefully hitting it,the objects has been damaged from being cracked,2
glass,break,the objects has been damaged from being cracked,the object falls down after being cut through,the objects is seperated into many pieces,the object is split into pieces,2
glass,break,the object falls down after being cut through,the objects has been damaged from being cracked,the object is split into pieces,the objects is shattered to pieces,3
glass,break,the objects has been damaged from being cracked,the objects is shattered,the object is split into pieces,the object falls down after being cut through,1
glass,break,the object is split into pieces,objects is shattered,the objects has been damaged from being cracked,the object falls down after being cut through,1
glass,break,the objects is divided into pieces,the object falls down after being cut through,the object is split into pieces,the objects has been damaged from being cracked,0
glass,break,the object is split into pieces,the objects is shattered into multiple small pieces,the object falls down after being cut through,the objects has been damaged from being cracked,1
glass,break,the object is split into pieces,the objects has been damaged from being cracked,the objects is shattered into many pieces,the object falls down after being cut through,2
window,break,the object was shattered,the object is no longer open,the object was pounded with a hard item until it smashed open,the object becomes protected from being opened,0
window,break,the object is shattering,the object is no longer open,the object becomes protected from being opened,the object was pounded with a hard item until it smashed open,0
window,break,the object is no longer open,the object has the glass shattering,the object was pounded with a hard item until it smashed open,the object becomes protected from being opened,1
window,break,the object was pounded with a hard item until it smashed open,the object is destroyed,the object becomes protected from being opened,the object is no longer open,1
window,break,a object is shattered,the object becomes protected from being opened,the object is no longer open,the object was pounded with a hard item until it smashed open,0
window,break,the object is no longer open,the object becomes protected from being opened,the object was pounded with a hard item until it smashed open,separate the object into pieces by hitting with a hard item like hammer,3
window,break,the object is no longer open,the object is being smashed by a ball,the object becomes protected from being opened,the object was pounded with a hard item until it smashed open,1
window,break,the object is no longer open,the object was pounded with a hard item until it smashed open,the object becomes protected from being opened,glass will shatter and make a loud noise,3
window,break,the object is no longer open,the object was pounded with a hard item until it smashed open,the object is shattered everywhere,the object becomes protected from being opened,2
window,break,the object becomes protected from being opened,the object was pounded with a hard item until it smashed open,the object is divided randomly into many broken parts,the object is no longer open,2
book,burn,the object is heated up,object is set aflame,object is carried somewhere in someones arms or on something with wheels,a object is set aflame,3
book,burn,the object becomes fire and ash,the object is heated up,object is set aflame,object is carried somewhere in someones arms or on something with wheels,0
book,burn,the object is destroyed with fire,object is carried somewhere in someones arms or on something with wheels,the object is heated up,object is set aflame,0
book,burn,the object is set on fire,object is set aflame,the object is heated up,object is carried somewhere in someones arms or on something with wheels,0
book,burn,the object is heated up,object is carried somewhere in someones arms or on something with wheels,the object has turned to ashes within minutes,object is set aflame,2
book,burn,object is carried somewhere in someones arms or on something with wheels,object is set aflame,the object is being exposed to fire,the object is heated up,2
book,burn,the object is set on fire,object is set aflame,the object is heated up,object is carried somewhere in someones arms or on something with wheels,0
book,burn,object is set aflame,the object is heated up,object is carried somewhere in someones arms or on something with wheels,the object is on fire,3
book,burn,the object is heated up,the object is being lit on fire,object is set aflame,object is carried somewhere in someones arms or on something with wheels,1
wood,burn,many object pieces are randomly arranged one over another to form a pile,the object is changed from an open to a close state,object is set aflame,a object is set aflame,2
wood,burn,the object is on fire,many object pieces are randomly arranged one over another to form a pile,a object is set aflame,the object is changed from an open to a close state,0
wood,burn,a object is set aflame,the object is changed from an open to a close state,many object pieces are randomly arranged one over another to form a pile,the object is set on fire,3
wood,burn,the object is being used in the fire to keep us warm tonight,many object pieces are randomly arranged one over another to form a pile,a object is set aflame,the object is changed from an open to a close state,0
wood,burn,many object pieces are randomly arranged one over another to form a pile,object is lit on fire and is consumed for fuel,the object is changed from an open to a close state,a object is set aflame,1
wood,burn,a object is set aflame,many object pieces are randomly arranged one over another to form a pile,the object is being burned by fire,the object is changed from an open to a close state,2
wood,burn,the object is changed from an open to a close state,many object pieces are randomly arranged one over another to form a pile,the object catches fire,a object is set aflame,2
wood,burn,the object is being charred by hot fire,many object pieces are randomly arranged one over another to form a pile,the object is changed from an open to a close state,a object is set aflame,0
balloon,burst,the object is popped,the object gets tangled up,the object gets tangled up,the object gets tangled up,0
balloon,burst,the object gets tangled up,the object quickly deflates and the pieces fall to the ground,the object gets tangled up,the object gets tangled up,1
balloon,burst,the object gets tangled up,the object gets tangled up,a object is popped,the object gets tangled up,2
balloon,burst,the object gets tangled up,the object gets tangled up,the object pops into many pieces,the object gets tangled up,2
balloon,burst,the object gets tangled up,the ballon is now deflated,the object gets tangled up,the object gets tangled up,1
balloon,burst,the object gets tangled up,the object gets tangled up,the object gets tangled up,break the object using a sharp item,3
balloon,burst,the object gets tangled up,the object gets tangled up,the object gets tangled up,the object made an exploding sound,3
balloon,burst,a object explodes into multiple fragments as the air quickly escapes,the object gets tangled up,the object gets tangled up,the object gets tangled up,0
balloon,burst,the object gets tangled up,the object gets tangled up,the object gets tangled up,the object is destroyed,3
balloon,burst,the object gets tangled up,the object gets tangled up,the object gets tangled up,the object is broken apart,3
bag,carry,the object is cut in two,the object is cut in two,hold a object in the air as you walk,object is carried somewhere in someones arms or on something with wheels,2
bag,carry,the object is cut in two,the object is held by a person,object is carried somewhere in someones arms or on something with wheels,the object is cut in two,1
bag,carry,the object is cut in two,the object moves with you from one place to another,the object is cut in two,object is carried somewhere in someones arms or on something with wheels,1
bag,carry,the object is being held,the object is cut in two,object is carried somewhere in someones arms or on something with wheels,the object is cut in two,0
bag,carry,the object is cut in two,use the carry objects,the object is cut in two,object is carried somewhere in someones arms or on something with wheels,1
bag,carry,the object is cut in two,the object is cut in two,the object will hang from your shoulders,object is carried somewhere in someones arms or on something with wheels,2
bag,carry,the object is being held and taken to another place,the object is cut in two,the object is cut in two,object is carried somewhere in someones arms or on something with wheels,0
bag,carry,the object is cut in two,the object is in someones hands and being moved from one place to another,object is carried somewhere in someones arms or on something with wheels,the object is cut in two,1
bag,carry,the hang is on my arm,object is carried somewhere in someones arms or on something with wheels,the object is cut in two,the object is cut in two,0
bag,carry,the object is cut in two,the object is cut in two,object is carried somewhere in someones arms or on something with wheels,a object is lifted off the ground,3
carrot,chop,the object is divided in pieces,a object is cut into small pieces,objects have their outer layers removed,the objects is no longer a single piece as it has a fracture in it now,1
carrot,chop,the objects is no longer a single piece as it has a fracture in it now,the object is divided in pieces,the object is divided into multiple pieces,objects have their outer layers removed,2
carrot,chop,the object is now sticks,the object is divided in pieces,objects have their outer layers removed,the objects is no longer a single piece as it has a fracture in it now,0
carrot,chop,the object is divided in pieces,the objects is no longer a single piece as it has a fracture in it now,the object is divided into multiple small pieces,objects have their outer layers removed,2
carrot,chop,the object is divided in pieces,the objects is no longer a single piece as it has a fracture in it now,objects have their outer layers removed,the object is made into many smaller pieces,3
carrot,chop,the object is divided into multiple smaller pieces,the object is divided in pieces,the objects is no longer a single piece as it has a fracture in it now,objects have their outer layers removed,0
carrot,chop,the object is divided into pieces,the object is divided in pieces,the objects is no longer a single piece as it has a fracture in it now,objects have their outer layers removed,0
carrot,chop,the object is divided in pieces,the objects is no longer a single piece as it has a fracture in it now,objects have their outer layers removed,a object is cut into smaller pieces,3
carrot,chop,objects have their outer layers removed,the object is divided into multiple pieces,the object is divided in pieces,the objects is no longer a single piece as it has a fracture in it now,1
meat,chop,object is divided into particular sections,the object is being burnt on the stove,the object is divided into multiple pieces,the object is removed from the body,0
meat,chop,the object is being burnt on the stove,the object is divided into multiple pieces,the object is removed from the body,the object is cut into smaller pieces,3
meat,chop,the object is being burnt on the stove,the object is removed from the body,the object is divided into smaller pieces,the object is divided into multiple pieces,2
meat,chop,object is cut into smaller pieces,the object is divided into multiple pieces,the object is removed from the body,the object is being burnt on the stove,0
meat,chop,the object is being burnt on the stove,the object is removed from the body,the object is divided into multiple pieces,the object is now tiny pieces,3
meat,chop,object is violently separated into pieces by a sharp tool,the object is being burnt on the stove,the object is divided into multiple pieces,the object is removed from the body,0
meat,chop,the object is cut into several small pieces,the object is divided into multiple pieces,the object is removed from the body,the object is being burnt on the stove,0
meat,chop,the object is being burnt on the stove,the object is divided into multiple pieces,the object is removed from the body,the object is cut into many pieces,3
meat,chop,the object is removed from the body,the object is being burnt on the stove,the object is divided into multiple pieces,the object is divided in pieces,3
onion,chop,the object door is positioned as to block people from seeing into it,the object is cut into many small pieces,the object is divided into multiple pieces,the object is heated until softened,1
onion,chop,the object is divided into multiple pieces,the object door is positioned as to block people from seeing into it,the object is heated until softened,the object is cut into pieces,3
onion,chop,the object is divided into multiple pieces,the object is sliced finely with a knife,the object is heated until softened,the object door is positioned as to block people from seeing into it,1
onion,chop,the object is heated until softened,the object door is positioned as to block people from seeing into it,the object is divided into multiple pieces,the object is made into multiple smaller pieces,3
onion,chop,the object door is positioned as to block people from seeing into it,the object is split into different pieces,the object is divided into multiple pieces,the object is heated until softened,1
onion,chop,the object is divided into multiple pieces,the object is heated until softened,the object door is positioned as to block people from seeing into it,the objects are in tiny pieces,3
onion,chop,an object is being cut into pieces,the object door is positioned as to block people from seeing into it,the object is heated until softened,the object is divided into multiple pieces,0
onion,chop,the object is being cut into small pieces,the object door is positioned as to block people from seeing into it,the object is divided into multiple pieces,the object is heated until softened,0
onion,chop,the object is heated until softened,the object is being divided into small pieces,the object door is positioned as to block people from seeing into it,the object is divided into multiple pieces,1
door,close,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the object is moved and connected to the hinge,the object is slid shut,the object is shut completely,1
door,close,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the object is shut completely,the object is slid shut,a object is swung on its hinges directly into its frame,3
door,close,the object will not open,the object is shut completely,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the object is slid shut,0
door,close,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the object is shut completely,the object is being shut,the object is slid shut,2
door,close,the object is shut completely,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the object is shut,the object is slid shut,2
door,close,the object is shut completely,object is shut so no one can see through the entrance or enter,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the object is slid shut,1
door,close,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,the object is shut completely,the object is slid shut,a object is shut closed,3
door,close,the object is slid shut,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,they were leaving the house so they closed the object,the object is shut completely,2
door,close,the object is slid shut,the object breaks into smaller pieces the two components of the object become one homogeneous substance the two colors of the object become one color,make the object so it cannot be passed through,the object is shut completely,2
drawer,close,the object is set afire,make the object so it cannot be passed through,you can see what is inside the object,the object is shut,3
drawer,close,a object is being pushed shut,make the object so it cannot be passed through,you can see what is inside the object,the object is set afire,0
drawer,close,make the object so it cannot be passed through,you can see what is inside the object,the object is set afire,the object is shut tight,3
drawer,close,you cannot see what is inside the object anymore,you can see what is inside the object,the object is set afire,make the object so it cannot be passed through,0
drawer,close,you can see what is inside the object,the object is being shut with my hands,make the object so it cannot be passed through,the object is set afire,1
drawer,close,make the object so it cannot be passed through,you can see what is inside the object,the draw is moved into place,the object is set afire,2
drawer,close,make the object so it cannot be passed through,a object partially extended from a cabinet is pushed back in,the object is set afire,you can see what is inside the object,1
drawer,close,you can see what is inside the object,make the object so it cannot be passed through,the object has its body pressed against the frame,the object is set afire,2
drawer,close,you can see what is inside the object,the object is set afire,the object is slid shut,make the object so it cannot be passed through,2
window,close,outside brown layer of object is taken off leaving only the white inside,make the object so it cannot be passed through,the object is now shut allowing no passage of air from the outside,the object is shut so it cannot move,2
window,close,the object once opened is now shut,the object is shut so it cannot move,outside brown layer of object is taken off leaving only the white inside,make the object so it cannot be passed through,0
window,close,the object is shut so it cannot move,make the object so it cannot be passed through,outside brown layer of object is taken off leaving only the white inside,the object covers the opening in the wall or door,3
window,close,the object is lowered in order to create a barrier over all the open space,the object is shut so it cannot move,outside brown layer of object is taken off leaving only the white inside,make the object so it cannot be passed through,0
window,close,the objects are shut,outside brown layer of object is taken off leaving only the white inside,the object is shut so it cannot move,make the object so it cannot be passed through,0
window,close,to shut the object,make the object so it cannot be passed through,the object is shut so it cannot move,outside brown layer of object is taken off leaving only the white inside,0
window,close,make the object so it cannot be passed through,the object is shut so it cannot move,outside brown layer of object is taken off leaving only the white inside,someone was asked if the object could be closed,3
rope,coil,the object is tied in such a way that it becomes more secure,the contents of the object are extracted,the contents of the object are extracted,the object has been arranged like a spiral,3
rope,coil,the object is tied in such a way that it becomes more secure,the object loses its straight form and becomes condensed into a ring of object,the contents of the object are extracted,the contents of the object are extracted,1
rope,coil,the contents of the object are extracted,the object is tied in such a way that it becomes more secure,the contents of the object are extracted,a object is rolled up,3
rope,coil,the object is gathered and arranged neatly in a circular way to prevent it from tangling,the contents of the object are extracted,the contents of the object are extracted,the object is tied in such a way that it becomes more secure,0
rope,coil,the contents of the object are extracted,the object has been contoured into another shape,the object is tied in such a way that it becomes more secure,the contents of the object are extracted,1
rope,coil,the object is tied in such a way that it becomes more secure,the object was coiled around itself for storage,the contents of the object are extracted,the contents of the object are extracted,1
rope,coil,the object is in a neat round pile,the object is tied in such a way that it becomes more secure,the contents of the object are extracted,the contents of the object are extracted,0
rope,coil,the object is tied in such a way that it becomes more secure,the contents of the object are extracted,the object becomes shaped like a coil,the contents of the object are extracted,2
rope,coil,the object is tied in such a way that it becomes more secure,the contents of the object are extracted,the object is wrapped into a shape that reduces the total amount of space it takes up,the contents of the object are extracted,2
egg,cook,the object is opened so the inside can be cooked,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is being prepared to be eaten,the object hardens and solidifies,3
egg,cook,heat is added to the object so that it is no longer raw,the object is opened so the inside can be cooked,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is being prepared to be eaten,0
egg,cook,the object is bad,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is being prepared to be eaten,the object is opened so the inside can be cooked,0
egg,cook,object becomes cooked is now firmer and edible,the object is being prepared to be eaten,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is opened so the inside can be cooked,0
egg,cook,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is heated until it can be eaten,the object is being prepared to be eaten,the object is opened so the inside can be cooked,1
egg,cook,the object is boiling from high heat,the object is being prepared to be eaten,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is opened so the inside can be cooked,0
egg,cook,the object is heated until it is ready to eat,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is opened so the inside can be cooked,the object is being prepared to be eaten,0
egg,cook,the object is being prepared to be eaten,the object is opened so the inside can be cooked,the object is made into smaller pieces so i can fit into a fire place or stacked,the object is warmed for eating,3
onion,cook,the object is being prepared to be eaten,the object is divided into multiple pieces,a fissure is formed in the objects,the object is heated until softened,3
onion,cook,a fissure is formed in the objects,the object is divided into multiple pieces,the object is being prepared to be eaten,the object is being heated up,3
onion,cook,heat the object so it can be eaten,a fissure is formed in the objects,the object is divided into multiple pieces,the object is being prepared to be eaten,0
onion,cook,the object is divided into multiple pieces,the object is being prepared to be eaten,an object is heated in an oven or on a stove to make it ready to eat,a fissure is formed in the objects,2
onion,cook,a fissure is formed in the objects,the object is divided into multiple pieces,the object is being prepared to be eaten,the object is being heated for desired taste and texture,3
onion,cook,the object is heated until soft,the object is divided into multiple pieces,the object is being prepared to be eaten,a fissure is formed in the objects,0
onion,cook,the object is being prepared to be eaten,a fissure is formed in the objects,the object is divided into multiple pieces,the object is being exposed to high heat,3
onion,cook,the object is divided into multiple pieces,a fissure is formed in the objects,the object is being prepared to be eaten,the object is heated up,3
glass,crack,the objects is seperated into many pieces,the objects shattered into many tiny shards,a object is shattered,the object is opened so the inside can be cooked,1
glass,crack,the objects becomes broken with lines in it,a object is shattered,the objects is seperated into many pieces,the object is opened so the inside can be cooked,0
glass,crack,a object is shattered,the objects would splinter and create fractures within itself possibly causing fragments to disperse,the objects is seperated into many pieces,the object is opened so the inside can be cooked,1
glass,crack,the objects is seperated into many pieces,a fissure is formed in the objects,a object is shattered,the object is opened so the inside can be cooked,1
glass,crack,the objects is seperated into many pieces,the objects breaks into sharp peices or shards,a object is shattered,the object is opened so the inside can be cooked,1
glass,crack,a object is shattered,the object is opened so the inside can be cooked,the objects is no longer a single piece as it has a fracture in it now,the objects is seperated into many pieces,2
glass,crack,a object is shattered,the objects is seperated into many pieces,the object is opened so the inside can be cooked,the objects structure is disrupted as a force causes a break in it,3
glass,crack,the objects is seperated into many pieces,a object is shattered,the object is opened so the inside can be cooked,the objects has been damaged from being cracked,3
glass,crack,the objects is seperated into many pieces,the object is opened so the inside can be cooked,a object is shattered,the objects is weakened and covered in stress lines,3
window,crack,the object is slightly opened with my hands,the object is shut so it cannot move,the objects shattered into many tiny shards,the object is gathered into one rising area,0
window,crack,the object is shut so it cannot move,the object is gathered into one rising area,the objects shattered into many tiny shards,a object is opened slightly,3
window,crack,the object is shut so it cannot move,the object is opened a little bit,the objects shattered into many tiny shards,the object is gathered into one rising area,1
window,crack,the object is shut so it cannot move,the object is gathered into one rising area,break a piece of glass,the objects shattered into many tiny shards,2
window,crack,the objects shattered into many tiny shards,the object is gathered into one rising area,object is opened just slightly enough to hear things outside or catch a small breeze,the object is shut so it cannot move,2
window,crack,the object is shut so it cannot move,the objects shattered into many tiny shards,the object becomes marred and possible ruined,the object is gathered into one rising area,2
window,crack,the objects shattered into many tiny shards,the object is gathered into one rising area,lower or raise the object to a specific height,the object is shut so it cannot move,2
car,crash,a object is dropped into a dirty bucket,the object comes to a stop and rests until the driver returns,the object is wrecked and he is in jail,a object is dropped into a dirty bucket,2
car,crash,the object comes to a stop and rests until the driver returns,a object is dropped into a dirty bucket,the object is physically wrecked or dented due to impact,a object is dropped into a dirty bucket,2
car,crash,the object comes to a stop and rests until the driver returns,the object was driven into an item causing damage and or injury,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,1
car,crash,a object is dropped into a dirty bucket,the object comes to a stop and rests until the driver returns,a object is dropped into a dirty bucket,the object impacts an item and possibly breaks,3
car,crash,the object becomes damaged possibly losing pieces and parts of it are destroyed,a object is dropped into a dirty bucket,the object comes to a stop and rests until the driver returns,a object is dropped into a dirty bucket,0
car,crash,the object comes to a stop and rests until the driver returns,the object is wrecked,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,1
car,crash,a object is dropped into a dirty bucket,the object is crumpled and destroyed,a object is dropped into a dirty bucket,the object comes to a stop and rests until the driver returns,1
car,crash,the object is wrecked through contact with another item at high speed,the object comes to a stop and rests until the driver returns,a object is dropped into a dirty bucket,a object is dropped into a dirty bucket,0
hair,crop,the object is being styled and laid,object is submerged in water,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
hair,crop,object becomes cooked is now firmer and edible,object is submerged in water,object becomes cooked is now firmer and edible,object is cut short,3
hair,crop,the object is now shorter than it was before,object is submerged in water,object becomes cooked is now firmer and edible,object becomes cooked is now firmer and edible,0
